,3000,3250,3500,3750,4000,4250,4500,4750,5000,5250,5500,5750,6000,6250,6500
Individual activity,tensor(0.4513),tensor(0.4594),tensor(0.5439),tensor(0.4631),tensor(0.5131),tensor(0.5656),tensor(0.5296),tensor(0.5739),tensor(0.5317),tensor(0.4915),tensor(0.6185),tensor(0.6185),tensor(0.5504),tensor(0.5873),tensor(0.5428)
Student writing,tensor(0.2022),tensor(0.2078),tensor(0.2977),tensor(0.1856),tensor(0.2493),tensor(0.3163),tensor(0.2705),tensor(0.3147),tensor(0.2728),tensor(0.2218),tensor(0.4092),tensor(0.4092),tensor(0.2907),tensor(0.3341),tensor(0.2797)
Individual technology,tensor(0.1938),tensor(0.1982),tensor(0.2694),tensor(0.1851),tensor(0.2331),tensor(0.2840),tensor(0.2477),tensor(0.2816),tensor(0.2523),tensor(0.2118),tensor(0.3507),tensor(0.3507),tensor(0.2615),tensor(0.2974),tensor(0.2568)
Sitting at desks,tensor(0.4279),tensor(0.4348),tensor(0.5139),tensor(0.4155),tensor(0.4856),tensor(0.5417),tensor(0.4993),tensor(0.5443),tensor(0.5075),tensor(0.4521),tensor(0.6127),tensor(0.6127),tensor(0.5214),tensor(0.5602),tensor(0.5180)
Student(s) standing or walking,tensor(0.2220),tensor(0.2270),tensor(0.3062),tensor(0.1924),tensor(0.2701),tensor(0.3313),tensor(0.2841),tensor(0.3291),tensor(0.2943),tensor(0.2323),tensor(0.4237),tensor(0.4237),tensor(0.3076),tensor(0.3484),tensor(0.3021)
Small group activity,tensor(0.3131),tensor(0.3197),tensor(0.4132),tensor(0.3054),tensor(0.3685),tensor(0.4343),tensor(0.3881),tensor(0.4345),tensor(0.3928),tensor(0.3406),tensor(0.5169),tensor(0.5169),tensor(0.4089),tensor(0.4540),tensor(0.3992)
Student raising hand,tensor(0.2625),tensor(0.2687),tensor(0.3679),tensor(0.2554),tensor(0.3150),tensor(0.3855),tensor(0.3377),tensor(0.3833),tensor(0.3401),tensor(0.2909),tensor(0.4752),tensor(0.4752),tensor(0.3556),tensor(0.4044),tensor(0.3439)
